Trip Id, Route Id, Service Id, Trip Head Sign, Route Name, Monday
218314013,NA,20C-H50C000A-90-A,369-N,NA,No
218314014,NA,20C-H50C000A-90-A,369-S,NA,No
218314017,NA,20C-H50C000A-90-A,100-O,NA,No
218314018,NA,20C-H50C000A-90-A,100-E,NA,No
218314019,NA,20C-H50C000A-90-A,100-E,NA,No
218314020,NA,20C-H50C000A-90-A,100-O,NA,No
218314021,NA,20C-H50C000A-90-A,100-E,NA,No
218314022,NA,20C-H50C000A-90-A,100-O,NA,No
218314023,NA,20C-H50C000A-90-A,100-E,NA,No
218314024,NA,20C-H50C000A-90-A,100-E,NA,No
218314025,NA,20C-H50C000A-90-A,100-O,NA,No
218314028,NA,20C-H50C000A-90-A,100-E,NA,No
218314029,NA,20C-H50C000A-90-A,100-E,NA,No
218314030,NA,20C-H50C000A-90-A,100-O,NA,No
218314031,NA,20C-H50C000A-90-A,100-E,NA,No
218314038,NA,20C-H50C000A-90-A,100-O,NA,No
218314039,NA,20C-H50C000A-90-A,100-E,NA,No
218314040,NA,20C-H50C000A-90-A,100-O,NA,No
218314041,NA,20C-H50C000A-90-A,100-E,NA,No
218314043,NA,20C-H50C000A-90-A,100-O,NA,No
218314044,NA,20C-H50C000A-90-A,100-E,NA,No
218314046,NA,20C-H50C000A-90-A,100-O,NA,No
218314047,NA,20C-H50C000A-90-A,100-E,NA,No
218314049,NA,20C-H50C000A-90-A,100-O,NA,No
218314050,NA,20C-H50C000A-90-A,100-E,NA,No
218314052,NA,20C-H50C000A-90-A,100-O,NA,No
218314053,NA,20C-H50C000A-90-A,100-E,NA,No
218314055,NA,20C-H50C000A-90-A,100-O,NA,No
218314056,NA,20C-H50C000A-90-A,100-E,NA,No
218314058,NA,20C-H50C000A-90-A,380-O,NA,No
218314059,NA,20C-H50C000A-90-A,380-E,NA,No
218314062,NA,20C-H50C000A-90-A,171-E,NA,No
218314063,NA,20C-H50C000A-90-A,160-O,NA,No
218314065,NA,20C-H50C000A-90-A,160-E,NA,No
218314068,NA,20C-H50C000A-90-A,160-E,NA,No
218314069,NA,20C-H50C000A-90-A,160-E,NA,No
218314070,NA,20C-H50C000A-90-A,160-O,NA,No
218314071,NA,20C-H50C000A-90-A,160-O,NA,No
218314073,NA,20C-H50C000A-90-A,160-E,NA,No
218314075,NA,20C-H50C000A-90-A,160-O,NA,No
218314077,NA,20C-H50C000A-90-A,160-O,NA,No
218314079,NA,20C-H50C000A-90-A,103-E,NA,No
218314081,NA,20C-H50C000A-90-A,103-E,NA,No
218314082,NA,20C-H50C000A-90-A,103-E,NA,No
218314083,NA,20C-H50C000A-90-A,103-E,NA,No
218314084,NA,20C-H50C000A-90-A,103-O,NA,No
218314085,NA,20C-H50C000A-90-A,103-E,NA,No
218314087,NA,20C-H50C000A-90-A,160-O,NA,No
218314088,NA,20C-H50C000A-90-A,160-E,NA,No
218314089,NA,20C-H50C000A-90-A,103-O,NA,No
218314090,NA,20C-H50C000A-90-A,103-O,NA,No
218314091,NA,20C-H50C000A-90-A,103-O,NA,No
218314097,NA,20C-H50C000A-90-A,103-E,NA,No
218314098,NA,20C-H50C000A-90-A,103-O,NA,No
218314099,NA,20C-H50C000A-90-A,103-O,NA,No
218314100,NA,20C-H50C000A-90-A,103-E,NA,No
218314101,NA,20C-H50C000A-90-A,103-O,NA,No
218314102,NA,20C-H50C000A-90-A,103-E,NA,No
218314105,NA,20C-H50C000A-90-A,105-E,NA,No
218314106,NA,20C-H50C000A-90-A,105-O,NA,No
218314107,NA,20C-H50C000A-90-A,105-E,NA,No
